name,enhance_lvl,appraisal,min_price,realm,date
1段階10番培養細胞箱(10個),+0,なし,36.11,NEW_REALM,2026-08-10
1段階11番培養細胞箱(10個),+0,なし,136.59,NEW_REALM,2026-08-10
1段階12番培養細胞箱(10個),+0,なし,177.41,NEW_REALM,2026-08-10
1段階13番培養細胞箱(10個),+0,なし,375.23,NEW_REALM,2026-08-10
1段階14番培養細胞箱(10個),+0,なし,1570.0,NEW_REALM,2026-08-10
1段階15番培養細胞箱(10個),+0,なし,15555.56,NEW_REALM,2026-08-10
1段階16番培養細胞箱(5個),+0,なし,29539.55,NEW_REALM,2026-08-10
1段階1番培養細胞箱(10個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
1段階2番培養細胞箱(10個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
1段階3番培養細胞箱(10個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
1段階4番培養細胞箱(10個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
1段階5番培養細胞箱(10個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
1段階6番培養細胞箱(10個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
1段階7番培養細胞箱(10個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
1段階8番培養細胞箱(10個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
1段階9番培養細胞箱(10個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
1段階エピック装飾品強化箱(10個),+0,なし,103.62,NEW_REALM,2026-08-10
1段階レジェンド装飾品強化箱(10個),+0,なし,348.54,NEW_REALM,2026-08-10
"1段階時の欠片箱(1,000個)",+0,なし,28.259999999999998,NEW_REALM,2026-08-10
"1段階没落の残滓(100,000個)",+0,なし,69.08,NEW_REALM,2026-08-10
1段階錬金術触媒箱(100個),+0,なし,21.98,NEW_REALM,2026-08-10
1段階黒オール箱(100個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階10番培養細胞箱(50個),+0,なし,127.17,NEW_REALM,2026-08-10
2段階1番培養細胞箱(50個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階2番培養細胞箱(50個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階3番培養細胞箱(50個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階4番培養細胞箱(50個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階5番培養細胞箱(50個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階6番培養細胞箱(50個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階7番培養細胞箱(50個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階8番培養細胞箱(50個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階9番培養細胞箱(50個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
2段階エピック装飾品強化箱(100個),+0,なし,1147.6699999999998,NEW_REALM,2026-08-10
2段階レジェンド装飾品強化箱(100個),+0,なし,5416.5,NEW_REALM,2026-08-10
"2段階時の欠片箱(5,000個)",+0,なし,160.14000000000001,NEW_REALM,2026-08-10
"2段階没落の残滓(500,000個)",+0,なし,211.95000000000002,NEW_REALM,2026-08-10
2段階錬金術触媒箱(500個),+0,なし,133.45,NEW_REALM,2026-08-10
2段階黒オール箱(500個),+0,なし,124.03,NEW_REALM,2026-08-10
3段階10番培養細胞箱(100個),+0,なし,420.76000000000005,NEW_REALM,2026-08-10
3段階1番培養細胞箱(100個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
3段階2番培養細胞箱(100個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
3段階3番培養細胞箱(100個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
3段階4番培養細胞箱(100個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
3段階5番培養細胞箱(100個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
3段階6番培養細胞箱(100個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
3段階7番培養細胞箱(100個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
3段階8番培養細胞箱(100個),+0,なし,15.700000000000001,NEW_REALM,2026-08-10
3段階9番培養細胞箱(100個),+0,なし,34.54,NEW_REALM,2026-08-10
"3段階時の欠片箱(10,000個)",+0,なし,329.7,NEW_REALM,2026-08-10
